A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
4231,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,1615,0,1,1,2,0,0,0,2
4232,0,0,0,505,0,0,0,0,992,205,293,0,247,1289,528,0,1616,1232,354,358,1077,0,1411,0,2
4233,0,357,0,1198,355,0,0,0,0,432,661,0,79,0,118,0,1617,1233,889,1,254,0,1412,0,932
4234,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4235,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4236,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4237,0,0,0,1199,356,0,0,0,993,77,20,0,333,1290,449,0,1618,1234,890,0,326,0,1413,0,2
4238,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4239,0,0,0,1200,0,0,0,0,0,1,50,0,38,0,247,0,1619,0,1,1,305,0,0,0,933
4240,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4241,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4242,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4243,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4244,0,0,0,1201,0,0,0,0,0,56,662,0,492,0,17,0,1620,1235,891,1,712,0,1414,0,934
4245,0,0,0,2,0,0,38,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4246,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4247,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,209,3,0,1,1,2,0,0,0,2
4248,0,0,0,2,0,0,0,0,994,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4249,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4250,0,0,0,2,0,0,0,0,0,1,663,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4251,0,358,0,1202,357,0,0,0,0,1,27,0,106,0,102,0,1621,1236,892,359,2,0,1415,0,935
4252,0,0,0,2,0,0,0,0,995,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4253,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4254,0,0,0,2,0,0,0,0,996,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4255,0,0,0,801,0,0,0,0,997,18,104,0,307,1291,228,210,1622,1237,893,41,1078,0,1416,0,2
4256,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4257,0,0,0,46,0,0,0,0,998,433,0,0,758,1292,529,211,240,1238,894,97,1079,0,1417,0,148
4258,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4259,0,0,0,173,0,0,0,0,999,19,0,0,1,1293,530,0,1623,1239,1,81,1080,0,1418,0,936
4260,0,0,0,1203,358,0,0,0,1000,434,664,0,759,0,1,0,1624,1240,132,97,1081,0,0,0,937
4261,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,62,0,0,0,2
4262,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4263,0,0,0,1204,0,0,0,0,148,11,665,0,2,1100,1,0,1625,178,1,1,2,0,1419,0,2
4264,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,1082,0,0,0,2
4265,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,1241,1,1,2,0,0,0,2
4266,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,1242,1,1,2,0,0,0,2
4267,0,0,0,1205,359,0,0,0,1001,279,666,0,63,0,297,212,1626,0,895,1,1083,0,0,0,938
4268,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4269,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,1084,0,0,0,2
4270,0,0,0,2,0,0,0,0,0,1,2,0,2,1294,1,0,3,0,1,1,2,0,0,0,2
4271,0,0,0,1188,0,0,0,0,0,1,27,0,604,0,71,0,1627,0,1,1,6,0,0,0,920
4272,0,0,0,1206,0,0,0,0,1002,435,7,0,66,0,273,0,1628,1243,758,1,1085,0,1420,0,2
4273,0,0,0,2,0,0,0,0,1003,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4274,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4275,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4276,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4277,0,0,0,3,360,0,22,0,1004,343,667,0,63,1295,531,213,1629,1244,2,360,1086,0,1421,0,3
4278,0,0,0,2,0,0,0,0,0,1,2,0,2,1296,1,0,3,1245,1,1,1087,0,0,0,2
4279,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4280,0,0,0,1207,0,0,0,0,0,1,2,0,2,1297,1,0,1630,1246,1,1,30,0,1422,0,2
4281,0,0,0,239,0,0,0,0,1005,436,668,0,79,0,428,214,1631,0,56,73,1088,0,0,0,939
4282,0,0,0,1208,0,0,0,0,0,8,0,0,760,1298,1,0,1632,1247,1,1,1089,0,0,0,2
4283,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4284,0,0,0,1209,0,0,0,0,1006,174,48,0,761,0,29,0,1633,1248,896,361,1090,0,0,0,2
4285,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,940
4286,0,0,0,1210,0,0,0,0,1007,68,669,0,762,1299,320,0,1634,1249,897,16,1091,0,1423,0,941
4287,0,0,0,2,0,0,0,0,0,1,2,0,2,1300,1,0,3,0,1,1,2,0,0,0,2
4288,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4289,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4290,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4291,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4292,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4293,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4294,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4295,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4296,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,1424,0,2
4297,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4298,0,0,0,1211,0,0,0,0,1008,1,670,0,21,0,532,0,1635,0,898,362,1092,0,0,0,2
4299,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4300,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4301,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4302,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4303,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4304,0,0,0,2,0,0,0,0,0,1,18,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4305,0,0,0,1212,361,0,0,0,1009,437,671,0,48,1301,533,215,1636,1250,899,1,1093,0,1425,0,942
4306,0,0,0,1213,0,0,0,0,0,1,2,0,2,0,1,0,1637,0,1,1,2,0,0,0,2
4307,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4308,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4309,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4310,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4311,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4312,0,0,0,311,0,0,0,93,0,0,50,0,49,0,1,0,1638,0,900,1,2,0,0,0,943
4313,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4314,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4315,0,0,0,2,0,0,0,0,1010,1,2,0,2,0,1,216,3,0,1,1,2,0,0,0,2
4316,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4317,0,0,0,1214,362,0,0,0,0,3,672,0,763,1302,59,0,1639,1251,901,1,1094,0,1426,0,944
4318,0,0,0,354,0,0,39,0,1011,1,261,0,26,1303,534,0,1640,1252,902,36,1095,0,1427,0,945
4319,0,0,0,72,0,0,0,0,0,1,120,0,63,1304,1,0,1641,422,903,16,316,0,1428,0,2
4320,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4321,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4322,0,0,0,750,0,0,0,0,1012,1,194,0,2,0,1,0,1642,0,1,1,58,0,0,0,2
4323,0,359,0,1215,363,0,0,0,0,1,15,0,1,1305,1,0,1643,1253,904,1,1096,0,1429,0,946
4324,0,0,0,1216,0,0,0,0,1013,55,0,0,764,0,18,217,1644,0,1,37,1097,0,1430,0,2
4325,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,1645,0,1,1,2,0,0,0,2
4326,0,360,0,1217,0,0,0,0,1014,263,15,0,677,1306,62,0,1646,0,905,1,1098,0,1431,0,947
4327,0,0,0,1218,0,0,0,0,0,1,673,0,765,0,1,0,3,0,1,1,32,0,0,0,2
4328,0,0,0,1219,0,0,40,0,0,438,674,0,766,0,535,0,1647,0,439,1,1099,0,0,0,948
4329,0,0,0,378,0,0,0,0,0,158,27,0,106,0,62,218,1648,0,906,1,2,0,0,0,2
4330,0,0,0,567,0,0,0,0,0,1,15,0,57,1307,100,0,1649,1254,907,1,209,0,1432,0,949
4331,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4332,0,361,0,1220,0,0,0,94,0,68,675,0,2,1308,1,0,1650,0,1,1,1100,0,1433,0,2
4333,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4334,0,0,0,1221,0,0,0,95,1015,439,0,0,767,1309,536,219,1651,1255,908,15,1101,0,1434,0,950
4335,0,362,0,1222,364,0,41,0,1016,388,676,0,768,1310,54,220,1652,1256,1,64,122,0,1435,0,951
4336,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4337,0,363,0,1223,0,0,0,0,0,49,677,0,1,1311,313,0,1653,0,909,1,1102,0,1436,0,952
4338,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4339,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4340,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4341,0,0,0,46,0,0,0,0,1017,116,678,0,63,1312,51,0,1654,1257,910,41,1103,0,1437,0,953
4342,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4343,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4344,0,364,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4345,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4346,0,365,0,1224,0,0,0,96,1018,440,679,0,769,1313,1,0,282,1258,1,1,1104,0,1438,0,2
4347,0,0,0,2,0,0,0,0,1019,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4348,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,1655,0,1,1,2,0,0,0,2
4349,0,0,0,1082,0,0,0,0,0,11,680,0,47,0,98,0,1656,1259,911,1,1105,0,1439,0,954
4350,0,0,0,1225,0,0,0,0,1020,1,151,0,57,1314,395,0,1657,1260,912,363,1106,0,1440,0,955
4351,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4352,0,0,0,1226,0,0,0,0,1021,15,7,0,770,0,537,0,1658,1261,913,364,1107,0,1441,0,2
4353,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4354,0,0,0,1227,0,0,0,0,1022,18,94,0,771,1315,184,0,1659,0,731,1,30,0,1442,0,2
4355,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4356,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4357,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4358,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4359,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4360,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4361,0,0,0,2,0,0,0,0,0,1,2,0,2,0,538,0,1660,0,1,1,2,0,1443,0,2
4362,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4363,0,0,0,1228,0,0,0,0,0,188,2,0,2,1316,246,0,1661,0,692,16,1108,0,0,0,956
4364,0,0,0,1229,0,0,0,0,1023,8,96,0,2,1317,1,0,1662,1262,1,1,1109,0,1444,0,2
4365,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4366,0,0,0,1230,0,0,0,0,0,1,31,0,772,1318,1,0,1663,1263,1,1,247,0,1445,0,2
4367,0,0,0,1231,0,0,0,0,1024,15,26,0,48,1319,1,0,157,1264,914,1,1110,0,1446,0,2
4368,0,0,0,434,0,0,0,0,1025,441,681,0,232,1320,539,0,1664,1265,915,58,1111,0,1447,0,957
4369,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4370,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4371,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4372,0,0,0,922,0,0,0,0,1026,1,665,0,773,0,540,0,5,1266,916,58,1112,0,1448,0,958
4373,0,0,0,2,0,0,0,0,0,1,2,0,2,1321,1,0,3,0,1,1,2,0,0,0,2
4374,0,0,0,561,0,0,0,0,1027,442,326,0,371,1322,541,0,1665,1267,73,365,90,0,1449,0,2
4375,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4376,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4377,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4378,0,0,0,1232,0,0,0,0,0,273,15,0,63,1323,187,0,1666,1268,458,366,1113,0,1450,0,959
4379,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4380,0,366,0,1003,0,0,0,0,1028,19,543,0,633,1324,542,0,1667,1269,1,1,4,0,1451,0,2
4381,0,0,0,1233,0,0,0,0,0,8,185,0,21,1325,543,0,1668,0,917,16,63,0,1452,0,960
4382,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4383,0,367,0,1234,0,0,0,97,1029,13,550,0,774,1326,44,221,1669,1270,918,33,1114,0,1453,0,961
4384,0,0,0,1235,0,0,0,0,1030,8,0,0,433,0,1,0,1670,0,919,1,1115,0,0,0,962
4385,0,368,0,513,0,1,0,39,1031,13,0,0,775,1327,544,0,1671,1271,1,1,1116,0,1454,0,2
4386,0,0,0,1236,0,0,0,0,0,19,682,0,776,0,1,0,1672,1272,920,84,62,0,1455,0,2
4387,0,0,0,2,0,0,0,0,0,1,2,0,2,1328,1,0,3,0,1,1,2,0,0,0,2
4388,0,0,0,1237,0,0,0,0,0,1,683,0,352,1329,110,0,1673,0,921,1,2,0,1456,0,2
4389,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4390,0,0,0,110,0,0,0,0,0,1,2,0,2,0,1,0,1674,0,1,1,2,0,0,0,2
4391,0,369,0,1238,0,0,0,0,1032,1,684,0,1,0,98,0,1675,0,344,115,115,0,0,0,963
4392,0,0,0,2,0,0,42,0,0,1,2,0,2,1330,1,0,3,1273,1,1,2,0,1457,0,2
4393,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4394,0,0,0,1239,0,0,0,0,1033,443,685,0,777,1331,427,0,1676,1274,1,1,27,0,1458,0,2
4395,0,0,0,684,0,0,0,0,1034,19,58,0,148,1332,545,0,1677,1275,499,1,1117,0,1459,0,504
4396,0,0,0,1240,0,0,0,0,1035,444,0,0,778,1333,230,0,1678,0,922,16,63,0,1460,0,964
4397,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4398,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4399,0,0,0,239,0,0,0,0,1036,445,27,0,79,1334,183,0,1679,1276,923,1,516,0,1461,0,965
4400,0,0,0,2,365,0,0,0,0,1,2,0,127,1335,1,0,3,1277,18,1,2,0,1462,0,966
4401,0,0,0,673,366,1,0,0,1037,1,521,0,779,1336,50,222,1680,1278,1,99,15,0,1463,0,967
4402,0,0,0,613,0,0,0,0,1038,1,2,0,2,0,1,0,1681,0,1,1,2,0,0,0,2
4403,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,1118,0,0,0,2
4404,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4405,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4406,0,0,0,1241,0,0,0,0,0,48,686,0,104,1337,546,0,1682,1279,214,1,1119,0,1464,0,968
4407,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4408,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4409,0,370,0,834,0,0,0,0,0,1,407,0,13,1338,1,0,1683,1280,924,1,6,0,1465,0,969
4410,0,0,0,1242,367,0,0,0,0,298,20,0,1,0,106,0,1684,0,1,1,1120,0,1466,0,970
4411,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4412,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4413,0,0,0,1243,0,0,0,0,0,1,2,0,2,0,1,0,1685,0,1,1,2,0,0,0,2
4414,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4415,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4416,0,0,0,1244,0,0,0,0,0,1,687,0,13,0,467,0,1686,0,1,1,115,0,0,0,971
4417,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4418,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4419,0,0,0,1245,0,0,0,0,1039,142,34,0,780,1339,110,0,1687,1281,925,77,988,0,1467,0,2
4420,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4421,0,371,0,1246,368,0,0,0,0,1,15,0,26,0,320,223,1688,0,408,1,1018,0,0,0,972
4422,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4423,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,224,3,0,1,1,2,0,0,0,2
4424,0,0,0,1247,0,0,0,0,163,1,18,0,232,1340,142,0,1689,1282,608,1,24,0,1468,0,973
4425,0,0,0,2,0,0,0,0,1040,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4426,0,0,0,2,0,0,0,0,0,3,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4427,0,0,0,285,369,0,0,0,0,32,171,0,355,1341,308,0,1690,1283,198,77,186,0,1469,0,186
4428,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4429,0,0,0,780,370,0,0,0,0,0,23,0,781,1342,1,0,1691,1284,926,367,1121,0,1470,0,974
4430,0,0,0,1248,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4431,0,0,0,1249,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4432,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,1471,0,2
4433,0,0,0,1250,0,0,0,0,1041,446,688,0,782,1343,547,0,1692,1285,927,84,24,0,1472,0,2
4434,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4435,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4436,0,372,0,1251,371,0,0,0,0,1,404,0,5,1344,548,0,1623,1286,928,1,757,0,1473,0,975
4437,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4438,0,0,0,2,0,0,0,0,0,1,2,0,96,0,1,0,3,0,1,1,2,0,0,0,2
4439,0,0,0,382,0,0,0,0,0,1,689,0,783,1345,1,0,1693,1287,1,8,30,0,1474,0,2
4440,0,0,0,1252,372,0,0,0,0,61,160,0,310,1346,205,225,1694,1288,929,1,209,0,1475,0,2
4441,0,0,0,2,0,0,0,0,0,447,690,0,784,1347,1,0,3,1289,1,1,62,0,0,0,976
4442,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4443,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4444,0,0,0,97,0,0,0,0,1042,42,0,0,785,1348,173,226,1695,1290,930,1,1122,0,1476,0,977
4445,0,0,0,2,0,0,0,0,163,1,691,0,2,0,1,0,3,0,1,1,1123,0,1477,0,2
4446,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4447,0,373,0,1253,373,0,0,0,0,1,15,0,285,1349,62,0,1696,1291,85,1,315,0,1478,0,978
4448,0,0,0,1254,0,0,0,0,148,1,2,0,2,1100,1,0,1697,1292,1,1,57,0,1479,0,2
4449,0,0,0,1255,0,0,0,0,0,1,2,0,2,1350,1,0,1698,0,1,1,1124,0,1480,0,2
4450,0,0,0,1256,0,0,0,0,1043,448,692,0,694,1351,38,0,1699,1293,931,368,1125,0,1481,0,979
4451,0,374,0,1257,0,0,0,0,0,13,693,0,164,1352,54,0,1700,0,932,1,1126,0,1482,0,980
4452,0,0,0,92,374,0,0,0,0,185,64,0,604,1353,283,0,1701,1294,67,369,1127,0,1483,0,981
4453,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4454,58,0,0,32,0,0,0,0,1044,3,694,0,786,1354,142,0,1702,1295,933,370,131,0,1484,0,982
4455,0,375,0,1258,0,0,0,0,0,449,31,0,104,1355,1,0,1703,1296,642,41,1128,0,1485,0,983
4456,0,0,0,2,0,0,0,0,0,19,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4457,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4458,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4459,0,0,0,1259,0,0,0,0,0,1,695,0,787,0,1,0,1704,0,1,371,181,0,1486,0,984
4460,0,0,0,1260,0,0,0,0,0,19,0,0,54,1356,1,0,1705,1297,1,1,897,0,1487,0,985
4461,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4462,0,0,0,2,0,0,0,0,0,1,2,0,2,1357,1,0,3,0,1,1,2,0,0,0,2
4463,0,0,0,1261,375,2,0,0,0,35,696,0,788,0,299,0,1706,0,1,372,2,0,0,0,986
4464,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4465,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4466,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4467,0,0,0,2,0,0,0,0,0,1,2,0,2,1358,1,0,3,0,1,1,2,0,0,0,2
4468,0,0,0,2,0,0,0,0,0,1,697,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4469,0,0,0,1262,0,0,0,0,0,1,698,0,789,0,516,0,1707,0,1,1,2,0,0,0,2
4470,0,0,0,1263,0,0,0,0,1045,450,0,0,43,1359,72,0,1708,1298,1,8,1129,0,1488,0,987
4471,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4472,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4473,0,0,0,2,0,0,0,0,0,451,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4474,0,0,0,2,0,0,0,0,1046,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4475,0,0,0,1264,0,0,0,0,1047,1,2,0,790,0,1,0,1709,0,934,1,7,0,0,0,988
4476,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4477,0,0,0,384,0,0,0,0,0,452,699,0,791,516,1,227,1710,1299,935,109,159,0,1489,0,989
4478,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4479,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4480,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4481,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
4482,0,0,0,1129,0,0,0,0,1048,1,700,0,27,1360,549,0,1711,1300,936,1,1130,0,1490,0,990
4483,0,0,0,1265,0,0,0,0,1049,453,118,0,792,1361,550,0,1712,1301,1,15,613,0,0,0,2
